sh	depth	sourceId	sourceTerm	typeTerm	relationshipGroup	destinationTerm	pattern
CF	2	63413008	Accessory ossification center (disorder)	Is a (attribute)	0	Disease (disorder)	['116676008-BS', '116680003-CF', '246454002-QV', '363698007-BS', '363713009-QV', '363714003-OE']
CF	2	63413008	Accessory ossification center (disorder)	Associated morphology (attribute)	1	Supernumerary structure (morphologic abnormality)	['116676008-BS', '116680003-CF', '246454002-QV', '363698007-BS', '363713009-QV', '363714003-OE']
CF	2	63413008	Accessory ossification center (disorder)	Finding site (attribute)	1	Bone structure (body structure)	['116676008-BS', '116680003-CF', '246454002-QV', '363698007-BS', '363713009-QV', '363714003-OE']
CF	2	63413008	Accessory ossification center (disorder)	Occurrence (attribute)	1	Congenital (qualifier value)	['116676008-BS', '116680003-CF', '246454002-QV', '363698007-BS', '363713009-QV', '363714003-OE']
CF	2	63413008	Accessory ossification center (disorder)	Has interpretation (attribute)	2	Abnormal (qualifier value)	['116676008-BS', '116680003-CF', '246454002-QV', '363698007-BS', '363713009-QV', '363714003-OE']
CF	2	63413008	Accessory ossification center (disorder)	Interprets (attribute)	2	Bone formation, function (observable entity)	['116676008-BS', '116680003-CF', '246454002-QV', '363698007-BS', '363713009-QV', '363714003-OE']
CF	3	20558004	Adverse effect of radiation therapy (disorder)	Associated with (attribute)	0	Radiation oncology AND/OR radiotherapy (procedure)	['116680003-CF', '246075003-PF', '47429007-PR']
CF	3	20558004	Adverse effect of radiation therapy (disorder)	Causative agent (attribute)	0	Ionizing radiation (physical force)	['116680003-CF', '246075003-PF', '47429007-PR']
CF	3	20558004	Adverse effect of radiation therapy (disorder)	Is a (attribute)	0	Disorder due to exposure to ionizing radiation (disorder)	['116680003-CF', '246075003-PF', '47429007-PR']
CF	3	250244003	Pyknocytosis (finding)	Associated morphology (attribute)	0	Pyknocyte (cell)	['116676008-BS', '116680003-CF', '363713009-QV', '363714003-PR']
CF	3	250244003	Pyknocytosis (finding)	Is a (attribute)	0	Hematopoietic system finding (finding)	['116676008-BS', '116680003-CF', '363713009-QV', '363714003-PR']
CF	3	250244003	Pyknocytosis (finding)	Has interpretation (attribute)	1	Present (qualifier value)	['116676008-BS', '116680003-CF', '363713009-QV', '363714003-PR']
CF	3	250244003	Pyknocytosis (finding)	Interprets (attribute)	1	Red blood cell morphology (procedure)	['116676008-BS', '116680003-CF', '363713009-QV', '363714003-PR']
CF	3	363042006	Congenital sequelae of disorders (disorder)	After (attribute)	0	Disease (disorder)	['116680003-CF', '246454002-QV', '255234002-CF']
CF	3	363042006	Congenital sequelae of disorders (disorder)	Is a (attribute)	0	Sequela (disorder)	['116680003-CF', '246454002-QV', '255234002-CF']
CF	3	363042006	Congenital sequelae of disorders (disorder)	Occurrence (attribute)	0	Congenital (qualifier value)	['116680003-CF', '246454002-QV', '255234002-CF']
CF	3	52951008	Congenital dyserythropoietic anemia (disorder)	Due to (attribute)	0	Decreased erythrocyte production (finding)	['116680003-CF', '246454002-QV', '363705008-CF', '42752001-CF']
CF	3	52951008	Congenital dyserythropoietic anemia (disorder)	Has definitional manifestation (attribute)	0	Erythropenia (finding)	['116680003-CF', '246454002-QV', '363705008-CF', '42752001-CF']
CF	3	52951008	Congenital dyserythropoietic anemia (disorder)	Is a (attribute)	0	Hereditary disease (disorder)	['116680003-CF', '246454002-QV', '363705008-CF', '42752001-CF']
CF	3	52951008	Congenital dyserythropoietic anemia (disorder)	Is a (attribute)	0	Red blood cell disorder (disorder)	['116680003-CF', '246454002-QV', '363705008-CF', '42752001-CF']
CF	3	52951008	Congenital dyserythropoietic anemia (disorder)	Occurrence (attribute)	0	Congenital (qualifier value)	['116680003-CF', '246454002-QV', '363705008-CF', '42752001-CF']
CF	4	102276005	Bipartite ossification (finding)	Interprets (attribute)	0	Bone formation, function (observable entity)	['116676008-BS', '116680003-CF', '363698007-BS', '363714003-OE']
CF	4	102276005	Bipartite ossification (finding)	Is a (attribute)	0	Bone finding (finding)	['116676008-BS', '116680003-CF', '363698007-BS', '363714003-OE']
CF	4	102276005	Bipartite ossification (finding)	Associated morphology (attribute)	1	Pathologic calcification, calcified structure (morphologic abnormality)	['116676008-BS', '116680003-CF', '363698007-BS', '363714003-OE']
CF	4	102276005	Bipartite ossification (finding)	Finding site (attribute)	1	Bone structure (body structure)	['116676008-BS', '116680003-CF', '363698007-BS', '363714003-OE']
CF	4	240272004	Bone fixation device infection (disorder)	Associated with (attribute)	0	Fixator (physical object)	['116680003-CF', '363698007-BS', '370135005-QV', '47429007-PO']
CF	4	240272004	Bone fixation device infection (disorder)	Finding site (attribute)	0	Bone structure (body structure)	['116680003-CF', '363698007-BS', '370135005-QV', '47429007-PO']
CF	4	240272004	Bone fixation device infection (disorder)	Is a (attribute)	0	Complication associated with device (disorder)	['116680003-CF', '363698007-BS', '370135005-QV', '47429007-PO']
CF	4	240272004	Bone fixation device infection (disorder)	Pathological process (attribute)	0	Infectious process (qualifier value)	['116680003-CF', '363698007-BS', '370135005-QV', '47429007-PO']
CF	4	4740000	Herpes zoster (disorder)	After (attribute)	0	Varicella (disorder)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF']
CF	4	4740000	Herpes zoster (disorder)	Associated morphology (attribute)	0	Inflammation (morphologic abnormality)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF']
CF	4	4740000	Herpes zoster (disorder)	Causative agent (attribute)	0	Human herpesvirus 3 (organism)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF']
CF	4	4740000	Herpes zoster (disorder)	Is a (attribute)	0	Varicella-zoster virus infection (disorder)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF']
CF	4	58126003	Postoperative wound infection (disorder)	After (attribute)	0	Surgical procedure (procedure)	['116676008-BS', '116680003-CF', '255234002-PR', '370135005-QV']
CF	4	58126003	Postoperative wound infection (disorder)	Associated morphology (attribute)	0	Surgical wound (morphologic abnormality)	['116676008-BS', '116680003-CF', '255234002-PR', '370135005-QV']
CF	4	58126003	Postoperative wound infection (disorder)	Is a (attribute)	0	Postoperative infection (disorder)	['116676008-BS', '116680003-CF', '255234002-PR', '370135005-QV']
CF	4	58126003	Postoperative wound infection (disorder)	Is a (attribute)	0	Abnormality of surgical wound (disorder)	['116676008-BS', '116680003-CF', '255234002-PR', '370135005-QV']
CF	4	58126003	Postoperative wound infection (disorder)	Pathological process (attribute)	0	Infectious process (qualifier value)	['116676008-BS', '116680003-CF', '255234002-PR', '370135005-QV']
CF	4	70065001	Fetal hydantoin syndrome (disorder)	Causative agent (attribute)	0	Hydantoin (substance)	['116676008-BS', '116680003-CF', '246075003-SU', '246454002-QV', '363698007-BS']
CF	4	70065001	Fetal hydantoin syndrome (disorder)	Is a (attribute)	0	Congenital malformation syndrome due to known exogenous cause (disorder)	['116676008-BS', '116680003-CF', '246075003-SU', '246454002-QV', '363698007-BS']
CF	4	70065001	Fetal hydantoin syndrome (disorder)	Associated morphology (attribute)	1	Developmental anomaly (morphologic abnormality)	['116676008-BS', '116680003-CF', '246075003-SU', '246454002-QV', '363698007-BS']
CF	4	70065001	Fetal hydantoin syndrome (disorder)	Finding site (attribute)	1	Fetal structure (body structure)	['116676008-BS', '116680003-CF', '246075003-SU', '246454002-QV', '363698007-BS']
CF	4	70065001	Fetal hydantoin syndrome (disorder)	Occurrence (attribute)	1	Congenital (qualifier value)	['116676008-BS', '116680003-CF', '246075003-SU', '246454002-QV', '363698007-BS']
CF	4	84625002	Acute febrile neutrophilic dermatosis (disorder)	Associated with (attribute)	0	Fever (finding)	['116676008-BS', '116680003-CF', '363698007-BS', '363705008-CF', '47429007-CF']
CF	4	84625002	Acute febrile neutrophilic dermatosis (disorder)	Has definitional manifestation (attribute)	0	Neutrophilia (finding)	['116676008-BS', '116680003-CF', '363698007-BS', '363705008-CF', '47429007-CF']
CF	4	84625002	Acute febrile neutrophilic dermatosis (disorder)	Is a (attribute)	0	Acute skin disorder (disorder)	['116676008-BS', '116680003-CF', '363698007-BS', '363705008-CF', '47429007-CF']
CF	4	84625002	Acute febrile neutrophilic dermatosis (disorder)	Associated morphology (attribute)	1	Infiltration (morphologic abnormality)	['116676008-BS', '116680003-CF', '363698007-BS', '363705008-CF', '47429007-CF']
CF	4	84625002	Acute febrile neutrophilic dermatosis (disorder)	Finding site (attribute)	1	Skin structure (body structure)	['116676008-BS', '116680003-CF', '363698007-BS', '363705008-CF', '47429007-CF']
CF	5	10628671000119100	Allergic contact dermatitis caused by latex (disorder)	Causative agent (attribute)	0	Latex (substance)	['116676008-BS', '116680003-CF', '246075003-SU', '363698007-BS', '370135005-QV', '42752001-CF']
CF	5	10628671000119100	Allergic contact dermatitis caused by latex (disorder)	Due to (attribute)	0	Contact hypersensitivity reaction (disorder)	['116676008-BS', '116680003-CF', '246075003-SU', '363698007-BS', '370135005-QV', '42752001-CF']
CF	5	10628671000119100	Allergic contact dermatitis caused by latex (disorder)	Is a (attribute)	0	Non-immunoglobulin E-mediated allergic disorder (disorder)	['116676008-BS', '116680003-CF', '246075003-SU', '363698007-BS', '370135005-QV', '42752001-CF']
CF	5	10628671000119100	Allergic contact dermatitis caused by latex (disorder)	Is a (attribute)	0	Delayed hypersensitivity disorder (disorder)	['116676008-BS', '116680003-CF', '246075003-SU', '363698007-BS', '370135005-QV', '42752001-CF']
CF	5	10628671000119100	Allergic contact dermatitis caused by latex (disorder)	Pathological process (attribute)	0	Allergic process (qualifier value)	['116676008-BS', '116680003-CF', '246075003-SU', '363698007-BS', '370135005-QV', '42752001-CF']
CF	5	10628671000119100	Allergic contact dermatitis caused by latex (disorder)	Associated morphology (attribute)	1	Inflammation (morphologic abnormality)	['116676008-BS', '116680003-CF', '246075003-SU', '363698007-BS', '370135005-QV', '42752001-CF']
CF	5	10628671000119100	Allergic contact dermatitis caused by latex (disorder)	Finding site (attribute)	1	Skin structure (body structure)	['116676008-BS', '116680003-CF', '246075003-SU', '363698007-BS', '370135005-QV', '42752001-CF']
CF	5	167669009	Fecal occult blood: positive (finding)	Associated morphology (attribute)	0	Hemorrhage (morphologic abnormality)	['116676008-BS', '116680003-CF', '363698007-BS', '363713009-QV', '363714003-PR']
CF	5	167669009	Fecal occult blood: positive (finding)	Finding site (attribute)	0	Gastrointestinal tract structure (body structure)	['116676008-BS', '116680003-CF', '363698007-BS', '363713009-QV', '363714003-PR']
CF	5	167669009	Fecal occult blood: positive (finding)	Is a (attribute)	0	Occult blood in stools (finding)	['116676008-BS', '116680003-CF', '363698007-BS', '363713009-QV', '363714003-PR']
CF	5	167669009	Fecal occult blood: positive (finding)	Has interpretation (attribute)	1	Positive (qualifier value)	['116676008-BS', '116680003-CF', '363698007-BS', '363713009-QV', '363714003-PR']
CF	5	167669009	Fecal occult blood: positive (finding)	Interprets (attribute)	1	Evaluation of stool specimen (procedure)	['116676008-BS', '116680003-CF', '363698007-BS', '363713009-QV', '363714003-PR']
CF	5	196025000	Chronic respiratory conditions due to chemical fumes (disorder)	Causative agent (attribute)	0	Chemical fumes (substance)	['116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	196025000	Chronic respiratory conditions due to chemical fumes (disorder)	Clinical course (attribute)	0	Chronic (qualifier value)	['116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	196025000	Chronic respiratory conditions due to chemical fumes (disorder)	Finding site (attribute)	0	Structure of respiratory system (body structure)	['116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	196025000	Chronic respiratory conditions due to chemical fumes (disorder)	Is a (attribute)	0	Respiratory condition due to chemical fumes AND/OR vapors (disorder)	['116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	196049002	Chronic pulmonary radiation disease (disorder)	Causative agent (attribute)	0	Ionizing radiation (physical force)	['116680003-CF', '246075003-PF', '263502005-QV', '363698007-BS']
CF	5	196049002	Chronic pulmonary radiation disease (disorder)	Clinical course (attribute)	0	Chronic (qualifier value)	['116680003-CF', '246075003-PF', '263502005-QV', '363698007-BS']
CF	5	196049002	Chronic pulmonary radiation disease (disorder)	Finding site (attribute)	0	Lung structure (body structure)	['116680003-CF', '246075003-PF', '263502005-QV', '363698007-BS']
CF	5	196049002	Chronic pulmonary radiation disease (disorder)	Is a (attribute)	0	Radiation respiratory disease (disorder)	['116680003-CF', '246075003-PF', '263502005-QV', '363698007-BS']
CF	5	281898005	Lymphadenopathy due to congenital toxoplasmosis (disorder)	Is a (attribute)	0	Lymphadenopathy (disorder)	['116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	5	281898005	Lymphadenopathy due to congenital toxoplasmosis (disorder)	Causative agent (attribute)	1	Toxoplasma (organism)	['116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	5	281898005	Lymphadenopathy due to congenital toxoplasmosis (disorder)	Finding site (attribute)	1	Structure of lymph node (body structure)	['116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	5	281898005	Lymphadenopathy due to congenital toxoplasmosis (disorder)	Occurrence (attribute)	1	Congenital (qualifier value)	['116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	5	281898005	Lymphadenopathy due to congenital toxoplasmosis (disorder)	Pathological process (attribute)	1	Parasitic process (qualifier value)	['116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	5	365440008	Feces/motions - symptoms (finding)	Finding informer (attribute)	0	Subject of record or other provider of history (person)	['116680003-CF', '363714003-OE', '419066007-SO']
CF	5	365440008	Feces/motions - symptoms (finding)	Interprets (attribute)	0	Feces/motions - symptoms (observable entity)	['116680003-CF', '363714003-OE', '419066007-SO']
CF	5	365440008	Feces/motions - symptoms (finding)	Is a (attribute)	0	Stool finding (finding)	['116680003-CF', '363714003-OE', '419066007-SO']
CF	5	365440008	Feces/motions - symptoms (finding)	Is a (attribute)	0	Gastrointestinal symptom (finding)	['116680003-CF', '363714003-OE', '419066007-SO']
CF	5	414490001	Infection by Uncinaria (disorder)	Associated with (attribute)	0	Uncinaria (organism)	['116680003-CF', '47429007-OR']
CF	5	414490001	Infection by Uncinaria (disorder)	Is a (attribute)	0	Disease due to superfamily Ancylostomatoidea (disorder)	['116680003-CF', '47429007-OR']
CF	5	77746001	Leontiasis (disorder)	Causative agent (attribute)	0	Mycobacterium leprae (organism)	['116680003-CF', '246075003-OR', '363698007-BS', '363705008-CF']
CF	5	77746001	Leontiasis (disorder)	Finding site (attribute)	0	Subcutaneous tissue structure of face (body structure)	['116680003-CF', '246075003-OR', '363698007-BS', '363705008-CF']
CF	5	77746001	Leontiasis (disorder)	Has definitional manifestation (attribute)	0	Leonine facies (finding)	['116680003-CF', '246075003-OR', '363698007-BS', '363705008-CF']
CF	5	77746001	Leontiasis (disorder)	Is a (attribute)	0	Leprosy (disorder)	['116680003-CF', '246075003-OR', '363698007-BS', '363705008-CF']
CF	5	87318008	Congenital syphilis with gumma (disorder)	Associated morphology (attribute)	0	Gummatous inflammation (morphologic abnormality)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV']
CF	5	87318008	Congenital syphilis with gumma (disorder)	Causative agent (attribute)	0	Treponema pallidum (organism)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV']
CF	5	87318008	Congenital syphilis with gumma (disorder)	Is a (attribute)	0	Congenital syphilis (disorder)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV']
CF	5	87318008	Congenital syphilis with gumma (disorder)	Occurrence (attribute)	0	Congenital (qualifier value)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV']
CF	5	95239003	Rhinitis medicamentosa (disorder)	Causative agent (attribute)	0	Drug or medicament (substance)	['116676008-BS', '116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	95239003	Rhinitis medicamentosa (disorder)	Clinical course (attribute)	0	Chronic (qualifier value)	['116676008-BS', '116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	95239003	Rhinitis medicamentosa (disorder)	Is a (attribute)	0	Non-infective non-allergic rhinitis (disorder)	['116676008-BS', '116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	95239003	Rhinitis medicamentosa (disorder)	Is a (attribute)	0	Chronic rhinitis (disorder)	['116676008-BS', '116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	95239003	Rhinitis medicamentosa (disorder)	Associated morphology (attribute)	1	Chronic inflammation (morphologic abnormality)	['116676008-BS', '116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	5	95239003	Rhinitis medicamentosa (disorder)	Finding site (attribute)	1	Structure of mucous membrane of nose (body structure)	['116676008-BS', '116680003-CF', '246075003-SU', '263502005-QV', '363698007-BS']
CF	6	11975007	Paroxysmal vascular dilatation (finding)	Clinical course (attribute)	0	Sudden onset AND/OR short duration (qualifier value)	['116680003-CF', '263502005-QV', '363714003-OE']
CF	6	11975007	Paroxysmal vascular dilatation (finding)	Interprets (attribute)	0	Vascular dilatation, function (observable entity)	['116680003-CF', '263502005-QV', '363714003-OE']
CF	6	11975007	Paroxysmal vascular dilatation (finding)	Is a (attribute)	0	Vasodilatation (finding)	['116680003-CF', '263502005-QV', '363714003-OE']
CF	6	206553008	Bronze baby (disorder)	After (attribute)	0	Phototherapy of newborn (procedure)	['116680003-CF', '255234002-PR', '47429007-CF']
CF	6	206553008	Bronze baby (disorder)	Associated with (attribute)	0	Neonatal hyperbilirubinemia (disorder)	['116680003-CF', '255234002-PR', '47429007-CF']
CF	6	206553008	Bronze baby (disorder)	Is a (attribute)	0	Endogenous non-melanin pigmentation (disorder)	['116680003-CF', '255234002-PR', '47429007-CF']
CF	6	206553008	Bronze baby (disorder)	Is a (attribute)	0	Skin disorder due to phototherapy (disorder)	['116680003-CF', '255234002-PR', '47429007-CF']
CF	6	206553008	Bronze baby (disorder)	Is a (attribute)	0	Neonatal dermatosis (disorder)	['116680003-CF', '255234002-PR', '47429007-CF']
CF	6	213200001	Infection associated with artificial insemination (disorder)	Associated with (attribute)	0	Artificial insemination (procedure)	['116680003-CF', '370135005-QV', '47429007-PR']
CF	6	213200001	Infection associated with artificial insemination (disorder)	Is a (attribute)	0	Complications associated with artificial fertilization (disorder)	['116680003-CF', '370135005-QV', '47429007-PR']
CF	6	213200001	Infection associated with artificial insemination (disorder)	Pathological process (attribute)	0	Infectious process (qualifier value)	['116680003-CF', '370135005-QV', '47429007-PR']
CF	6	262678008	Post-radiotherapy laryngitis (disorder)	After (attribute)	0	Radiation oncology AND/OR radiotherapy (procedure)	['116680003-CF', '246075003-PF', '255234002-PR']
CF	6	262678008	Post-radiotherapy laryngitis (disorder)	Causative agent (attribute)	0	Ionizing radiation (physical force)	['116680003-CF', '246075003-PF', '255234002-PR']
CF	6	262678008	Post-radiotherapy laryngitis (disorder)	Is a (attribute)	0	Injury of larynx (disorder)	['116680003-CF', '246075003-PF', '255234002-PR']
CF	6	262678008	Post-radiotherapy laryngitis (disorder)	Is a (attribute)	0	Adverse effect of radiation therapy (disorder)	['116680003-CF', '246075003-PF', '255234002-PR']
CF	6	262678008	Post-radiotherapy laryngitis (disorder)	Is a (attribute)	0	Laryngitis (disorder)	['116680003-CF', '246075003-PF', '255234002-PR']
CF	6	276575001	Autoimmune neonatal thrombocytopenia (disorder)	Has definitional manifestation (attribute)	0	Platelet count below reference range (finding)	['116680003-CF', '246454002-QV', '363705008-CF', '370135005-QV']
CF	6	276575001	Autoimmune neonatal thrombocytopenia (disorder)	Is a (attribute)	0	Neonatal thrombocytopenia (disorder)	['116680003-CF', '246454002-QV', '363705008-CF', '370135005-QV']
CF	6	276575001	Autoimmune neonatal thrombocytopenia (disorder)	Occurrence (attribute)	0	Neonatal (qualifier value)	['116680003-CF', '246454002-QV', '363705008-CF', '370135005-QV']
CF	6	276575001	Autoimmune neonatal thrombocytopenia (disorder)	Pathological process (attribute)	0	Autoimmune (qualifier value)	['116680003-CF', '246454002-QV', '363705008-CF', '370135005-QV']
CF	6	310609005	Infection and inflammatory reaction due to internal orthopedic fixation device (disorder)	Associated morphology (attribute)	0	Inflammation (morphologic abnormality)	['116676008-BS', '116680003-CF', '370135005-QV', '47429007-PO']
CF	6	310609005	Infection and inflammatory reaction due to internal orthopedic fixation device (disorder)	Associated with (attribute)	0	Orthopedic internal fixation system, device (physical object)	['116676008-BS', '116680003-CF', '370135005-QV', '47429007-PO']
CF	6	310609005	Infection and inflammatory reaction due to internal orthopedic fixation device (disorder)	Is a (attribute)	0	Complication of internal fixation device (disorder)	['116676008-BS', '116680003-CF', '370135005-QV', '47429007-PO']
CF	6	310609005	Infection and inflammatory reaction due to internal orthopedic fixation device (disorder)	Pathological process (attribute)	0	Infectious process (qualifier value)	['116676008-BS', '116680003-CF', '370135005-QV', '47429007-PO']
CF	6	310643001	Infection of intravenous catheter (disorder)	After (attribute)	0	Catheterization of vein (procedure)	['116680003-CF', '255234002-PR', '370135005-QV', '47429007-PO']
CF	6	310643001	Infection of intravenous catheter (disorder)	Associated with (attribute)	0	Venous catheter (physical object)	['116680003-CF', '255234002-PR', '370135005-QV', '47429007-PO']
CF	6	310643001	Infection of intravenous catheter (disorder)	Is a (attribute)	0	Infection of vascular catheter (disorder)	['116680003-CF', '255234002-PR', '370135005-QV', '47429007-PO']
CF	6	310643001	Infection of intravenous catheter (disorder)	Pathological process (attribute)	0	Infectious process (qualifier value)	['116680003-CF', '255234002-PR', '370135005-QV', '47429007-PO']
CF	6	410509003	Herpes zoster conjunctivitis (disorder)	After (attribute)	0	Varicella (disorder)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF', '363698007-BS']
CF	6	410509003	Herpes zoster conjunctivitis (disorder)	Causative agent (attribute)	0	Human herpesvirus 3 (organism)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF', '363698007-BS']
CF	6	410509003	Herpes zoster conjunctivitis (disorder)	Is a (attribute)	0	Viral conjunctivitis (disorder)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF', '363698007-BS']
CF	6	410509003	Herpes zoster conjunctivitis (disorder)	Is a (attribute)	0	Herpes zoster ophthalmicus (disorder)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF', '363698007-BS']
CF	6	410509003	Herpes zoster conjunctivitis (disorder)	Associated morphology (attribute)	1	Inflammation (morphologic abnormality)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF', '363698007-BS']
CF	6	410509003	Herpes zoster conjunctivitis (disorder)	Finding site (attribute)	1	Conjunctival structure (body structure)	['116676008-BS', '116680003-CF', '246075003-OR', '255234002-CF', '363698007-BS']
CF	6	429245005	Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty (disorder)	After (attribute)	0	Percutaneous transluminal coronary angioplasty (procedure)	['116680003-CF', '255234002-PR', '263502005-QV']
CF	6	429245005	Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty (disorder)	Clinical course (attribute)	0	Recurrent (qualifier value)	['116680003-CF', '255234002-PR', '263502005-QV']
CF	6	429245005	Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty (disorder)	Is a (attribute)	0	Coronary arteriosclerosis (disorder)	['116680003-CF', '255234002-PR', '263502005-QV']
CF	6	432513009	Residual deformity as late effect of burn (disorder)	After (attribute)	0	Burn (disorder)	['116676008-BS', '116680003-CF', '255234002-CF']
CF	6	432513009	Residual deformity as late effect of burn (disorder)	Associated morphology (attribute)	0	Acquired deformity (morphologic abnormality)	['116676008-BS', '116680003-CF', '255234002-CF']
CF	6	432513009	Residual deformity as late effect of burn (disorder)	Is a (attribute)	0	Deformity after injury (disorder)	['116676008-BS', '116680003-CF', '255234002-CF']
CF	6	443957007	Herpes simplex infection of cornea after ophthalmic surgery (disorder)	After (attribute)	0	Surgical procedure on eye region (procedure)	['116680003-CF', '246075003-OR', '255234002-PR', '363698007-BS']
CF	6	443957007	Herpes simplex infection of cornea after ophthalmic surgery (disorder)	Causative agent (attribute)	0	Human herpes simplex virus (organism)	['116680003-CF', '246075003-OR', '255234002-PR', '363698007-BS']
CF	6	443957007	Herpes simplex infection of cornea after ophthalmic surgery (disorder)	Finding site (attribute)	0	Corneal structure (body structure)	['116680003-CF', '246075003-OR', '255234002-PR', '363698007-BS']
CF	6	443957007	Herpes simplex infection of cornea after ophthalmic surgery (disorder)	Is a (attribute)	0	Herpes simplex (disorder)	['116680003-CF', '246075003-OR', '255234002-PR', '363698007-BS']
CF	6	53743006	Anemia following fetal blood loss (disorder)	After (attribute)	0	Fetal blood loss (disorder)	['116680003-CF', '246454002-QV', '255234002-CF', '363705008-CF']
CF	6	53743006	Anemia following fetal blood loss (disorder)	Has definitional manifestation (attribute)	0	Erythropenia (finding)	['116680003-CF', '246454002-QV', '255234002-CF', '363705008-CF']
CF	6	53743006	Anemia following fetal blood loss (disorder)	Is a (attribute)	0	Anemia due to blood loss (disorder)	['116680003-CF', '246454002-QV', '255234002-CF', '363705008-CF']
CF	6	53743006	Anemia following fetal blood loss (disorder)	Occurrence (attribute)	0	Congenital (qualifier value)	['116680003-CF', '246454002-QV', '255234002-CF', '363705008-CF']
CF	6	5724005	Lathyrus species poisoning (disorder)	Causative agent (attribute)	0	Lathyrus (organism)	['116680003-CF', '246075003-OR', '246075003-SU', '363698007-BS']
